date,station,city,pressure,wind_speed,wind_direction,temperature,humidity,rain20,rain08,cloud,visibility,phenomenon
20130217,504,E,845,4,999004,1.6,24,999990,3.8,100,20000,"03,"
20130218,201,B,1005.7,3.3,999010,20.3,91,0,0,50,7000,"10,"
20130218,501,E,787.4,4.5,999007,-9,82,3.6,0.4,80,18000,"03,70,16,"
20130218,502,E,811.8,6.7,999002,-8.4,78,11.5,0.4,75,3000,"03,70,16,"
20130218,503,E,834.9,4.6,999003,-6.1,81,2.5,0.2,75,8000,"03,70,16,"
20130218,504,E,850.8,3.5,999003,-4,73,4.1,0.3,67,10000,"70,03,16,"
20130219,201,B,1006.6,5,999004,20.7,85,999990,999990,63,200,"10,42[200],"
20130219,501,E,787.4,3.4,999010,-9.3,71,0,0,23,20000,"03,16,02,"
20130219,502,E,811.6,3,999010,-10.4,75,0,0,50,6000,"03,16,02,"
20130219,503,E,834.6,4,999009,-7.7,78,0,0,30,12000,"03,02,"
20130219,504,E,850.4,2.3,999005,-4.2,63,0,0,100,10000,"03,16,"
20130220,201,B,1012.1,4.9,999003,16.9,68,999990,0,100,11000,"60,"
20130220,501,E,789.1,4.2,999007,-5.9,56,0,0,33,25000,"03,16,02,"
20130220,502,E,812.8,3.5,999016,-6.4,72,0,0,3,8000,"03,16,05,02,"
20130220,503,E,835.6,3.8,999005,-5.5,71,0,0,20,12000,"03,02,"
20130220,504,E,851.2,2.3,999002,-1.3,64,0,0,47,7000,"03,10,"
20130221,201,B,1012.6,5.4,999010,17.9,72,0,0,63,6000,
20130221,501,E,792.3,4.9,999007,-3.8,54,0,0,50,20000,"03,02,"
20130221,502,E,815.9,4.6,999007,-2.6,70,0,0,58,13000,"03,16,02,"
20130221,503,E,838.5,4.2,999006,-2.7,57,0,0,30,12000,"03,"
20130221,504,E,854.1,2.6,999003,1.8,59,0,0,40,11000,"03,"
20130222,201,B,1013.8,5,999001,19,69,0,0,50,6000,"05,10,01,"
20130222,501,E,791.7,4.1,999007,-2.6,45,0,0,43,20000,"03,"
20130222,502,E,815.3,3.7,999008,-1.1,71,0,0,45,25000,"03,16,02,"
20130222,503,E,837.7,3.5,999007,-1.8,51,0,0,13,15000,"03,"
20130222,504,E,853.1,2.4,999004,2.9,59,0,0,33,13000,"03,02,"
20130223,201,B,1015.4,4.4,999002,17.4,61,0,0,30,8000,
20130223,501,E,788.6,5.3,999008,-0.1,46,0,0,67,20000,"03,"
20130223,502,E,812.3,5.7,999006,0.7,73,0,0,70,20000,"03,02,"
20130223,503,E,834.3,4.3,999007,0.6,59,0,0,43,15000,"03,"
20130223,504,E,849.7,2.7,999004,4,63,0,0,67,12000,"03,02,"
20130224,201,B,1013.3,3.6,999003,18.4,75,0,0,80,7000,"05,10,"
20130224,501,E,786.1,7.8,999015,0.6,46,0,0,50,18000,"03,02,"
20130224,502,E,809.1,4.5,999007,2.6,73,0,0,25,11000,"03,02,"
20130224,503,E,831.4,7.1,999002,2.3,57,0,0,45,15000,"03,02,"
20130224,504,E,846.4,2.3,999005,6.4,60,0,0,33,11000,"03,02,"
20130225,201,B,1011.3,4.3,999004,20.7,69,0,0.1,98,9000,"05,10,"
20130225,501,E,789,6.7,999016,2,32,0,0,100,18000,"03,"
20130225,502,E,812.4,4.7,999001,4,32,0,0,100,8000,"03,"
20130225,503,E,834.2,4.5,999003,2.8,30,0,0,65,15000,"03,"
20130225,504,E,849.6,4,999003,6.9,26,0,0,100,12000,
20130226,201,B,1008.7,3.2,999004,22.1,83,0.1,999990,98,7000,"60,10,"
20130226,501,E,788.1,4.4,999003,2.8,29,0,0,67,20000,"03,"
20130226,502,E,811.1,3.4,999008,2,55,0,0,65,15000,"03,02,"
20130226,503,E,833.1,3.5,999003,2.9,32,0,0,50,15000,"03,"
20130226,504,E,848.3,2.1,999004,6.5,32,0,0,33,11000,"03,"
20130227,201,B,1006.7,4.4,999010,22.9,91,0,0,95,5000,"10,"
20130227,501,E,784.7,5.6,999007,4.1,28,0,0,67,20000,"03,"
20130227,502,E,807.4,5.2,999009,5.8,50,0,0,50,12000,"03,02,"
20130227,503,E,829.1,4.4,999007,6,30,0,0,25,15000,"03,"
20130227,504,E,844.2,2.8,999003,9.6,32,0,0,33,15000,"03,"
20130228,201,B,1005.7,4.5,999004,20.2,93,0,0,100,6000,"10,"
20130228,501,E,785.9,7.2,999016,0.5,20,0,0,100,25000,"03,"
20130228,502,E,809.5,4.9,999014,1.9,31,0,0,100,13000,"03,"
20130228,503,E,832.2,6.7,999002,3.1,14,0,0,100,12000,
20130228,504,E,847.3,4,999003,6.3,16,0,0,100,15000,
20130301,201,B,1006.2,4.6,999003,21.4,94,0,0.8,100,8000,"10,"
20130301,501,E,790.3,5.2,999007,-3,22,0,0,100,12000,"03,"
20130301,502,E,813.7,5.6,999015,-0.8,27,0,0,100,5000,"03,06,"
20130301,503,E,836.9,5.3,999002,-0.6,16,0,0,100,7000,"03,"
20130301,504,E,852.4,2.9,999002,2.2,15,0,0,100,6000,"06,03,"
20130302,201,B,1012.2,5.3,999004,18.3,90,3.1,2.3,100,4000,"10,60,"
20130302,501,E,796.4,7.4,999015,-2.5,44,0,0,100,12000,"03,"
20130302,502,E,820.2,3.3,999015,-0.4,38,0,0,50,11000,"03,"
20130302,503,E,842.8,4,999004,-0.4,26,0,0,55,11000,"03,"
20130302,504,E,858.5,2.8,999002,3.5,21,0,0,33,11000,"06,03,"
20130303,201,B,1016.2,4.8,999002,13.6,63,0,0,100,10000,
20130303,501,E,796.1,7.6,999015,0.4,44,0,0,0,20000,"03,02,"
20130303,502,E,819.8,4.8,999016,1.7,37,0,0,0,12000,"03,02,"
20130303,503,E,842,4.6,999002,1.3,47,0,0,0,12000,"03,"
20130303,504,E,857.7,2.5,999014,4.9,33,0,0,0,12000,"03,"
20130304,201,B,1016,5.4,999002,16.1,47,0,0,53,12000,
20130304,501,E,792,4.9,999008,2.5,29,0,0,43,20000,"03,"
20130304,502,E,815,5.6,999001,2.3,39,0,0,0,20000,"03,02,"
20130304,503,E,837.1,3.4,999005,1.8,33,0,0,0,15000,"03,"
20130304,504,E,852.5,2,999004,5.9,27,0,0,0,12000,"03,"
20130305,201,B,1015.5,4.5,999006,18.4,47,0,0,48,14000,
20130305,501,E,788.3,7.1,999003,3.5,27,0,0,47,18000,"03,"
20130305,502,E,810.9,4.3,999014,4.4,34,0,0,15,30000,"03,"
20130305,503,E,833,7,999003,4.7,26,0,0,25,8000,"03,"
20130305,504,E,848,3.4,999002,8.6,25,0,0,33,11000,"03,"
20130306,201,B,1013.3,4.4,999010,19.6,50,0,0,0,13000,
20130306,501,E,792.9,7.1,999016,5.7,21,0,0,80,12000,"03,"
20130306,502,E,816.2,5.3,999015,6.6,28,0,0,75,7000,"06,"
20130306,503,E,837.9,6,999002,7,23,0,0,85,7000,"07,06,03,"
20130306,504,E,853.2,3,999002,11.2,18,0,0,0,11000,
20130307,201,B,1012.4,4.9,999010,20.5,54,0,0,0,8000,"01,05,"
20130307,501,E,791.3,4.2,999007,6.9,24,0,0,57,18000,"03,"
20130307,502,E,814,3.6,999011,5.9,33,0,0,0,11000,"03,"
20130307,503,E,835.6,3.8,999015,6.1,28,0,0,5,12000,"03,"
20130307,504,E,850.8,2.1,999003,9.9,26,0,0,0,11000,
20130308,201,B,1009.4,5.4,999010,21.4,44,0,0,0,12000,"01,"
20130308,501,E,784.4,6.8,999010,8.1,21,0,0,10,25000,"03,"
20130308,502,E,807.1,5.1,999010,9.1,27,0,0,0,15000,"03,"
20130308,503,E,828.3,5.1,999007,7,24,0,0,0,12000,"03,"
20130308,504,E,843.2,2.3,999012,11.6,21,0,0,0,11000,"03,"
