code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
600571,信雅达,0.1,-65.52,,3.79,,4468.77,-29.26,,08-31
000036,华联控股,0.92,139.79,,26.93,,105179.58,143.4,,08-31
600236,桂冠电力,0.12,-60.09,,5.4,,74191.31,-59.31,,08-31
600983,惠而浦,-0.11,-145.83,,-2.14,,-8587.47,-147.62,,08-31
600685,中船防务,0.03,18.7,,0.42,,4397.22,18.61,,08-31
000573,粤宏远A,0.11,289.55,,4.01,,6962.88,288.96,,08-31
600082,海泰发展,-0.03,-40.04,,-1.19,,-1983.83,-40.0,,08-31
600559,老白干酒,0.11,83.33,,2.91,,4748.54,92.38,,08-31
000901,航天科技,0.17,581.18,,1.97,,7112.04,761.68,,08-31
601727,上海电气,0.1,3.9,,2.97,,135898.8,8.78,,08-31
000657,中钨高新,0.09,1066.25,,1.95,,5865.56,1072.39,,08-31
600817,宇通重工,-0.01,162.96,,-1.18,,-114.8,164.29,,08-31
600877,声光电科,0.11,-162.43,,,,7528.98,-162.45,,08-31
000338,潍柴动力,0.33,26.92,,8.1,,265004.27,152.02,10派1.5,08-31
601390,中国中铁,0.31,38.39,,5.36,,770737.4,41.09,,08-31
000592,平潭发展,0.0,-83.5,,0.11,,333.49,-83.26,,08-31
600098,广州发展,0.13,-27.99,,2.31,,35755.27,-28.03,,08-31
600570,恒生电子,0.37,37.04,,9.08,,22862.41,39.36,,08-31
000035,中国天楹,0.06,0.17,,3.44,,7211.26,0.19,,08-31
002180,纳思达,-1.02,-543.43,,-79.68,,-101539.35,-536.57,,08-31
000426,兴业矿业,0.11,462.24,,4.14,,20594.0,779.59,,08-31
600316,洪都航空,-0.08,-6492.31,,-0.56,,-5959.43,-6740.18,,08-31
000913,钱江摩托,0.11,0.0,,2.1,,5065.17,0.42,,08-31
000960,锡业股份,0.24,5700.0,,4.45,,35853.01,5676.33,,08-31
600756,浪潮软件,0.04,-38.03,,0.69,,1422.63,-35.17,,08-31
688055,龙腾光电,,,,,,50679.58,,,08-31
600081,东风科技,0.26,35.5,,6.93,,8248.09,35.53,,08-31
600120,浙江东方,0.58,-24.68,,4.4,,38280.56,-2.22,,08-31
002663,普邦股份,0.05,25.58,,2.09,,9339.31,27.09,,08-31
600186,莲花健康,-0.06,971.7,,-56.13,,-6029.93,980.18,,08-31
000066,中国长城,0.1,-2040.0,,4.5,,28539.53,-4024.56,,08-31
600629,华建集团,0.19,-29.15,,4.45,,7365.19,-21.95,,08-31
600149,廊坊发展,-0.01,-63.16,,-3.03,,-548.21,-61.65,,08-31
600853,龙建股份,0.04,233.96,,2.27,,1899.2,233.9,,08-31
000007,全新好,0.06,-152.55,,5.52,,2104.41,-178.92,,08-31
000333,美的集团,1.67,12.84,,16.46,,1081132.2,13.85,,08-31
601200,上海环境,0.43,,,5.94,,29946.57,38.21,,08-31
000546,金圆股份,0.14,2.4,,3.72,,8111.34,1.84,,08-31
600408,安泰集团,-0.07,-80.0,,-7.19,,-6701.61,-81.09,,08-31
000632,三木集团,0.01,44.0,,0.4,,501.09,43.88,,08-31
600803,新奥股份,0.1,-350.0,,2.14,,9913.03,-327.9,,08-31
002179,中航光电,0.56,-14.34,,10.25,,44163.32,11.36,,08-31
000425,徐工机械,0.08,338.89,,2.66,,55030.78,333.27,,08-31
000912,泸天化,-0.07,-77.57,,-40.31,,-3879.8,-78.75,,08-31
601162,天风证券,0.05,-47.06,,,,25143.01,-47.18,,08-31
600035,楚天高速,0.2,33.33,,6.11,,32605.67,48.64,,08-31
000571,ST大洲,0.06,32.81,,2.19,,4845.32,32.83,,08-31
601801,皖新传媒,0.42,59.09,,9.42,,82978.07,72.85,,08-31
601939,建设银行,0.55,3.77,6.5,8.55,-0.48,13833900.0,3.69,,08-31
600887,伊利股份,0.55,3.77,,14.3,,336411.11,4.75,,08-31
000065,北方国际,0.39,-2.5,,6.03,,19842.74,80.15,,08-31
601005,重庆钢铁,-0.23,-42.5,,,,-99848.2,-44.23,,08-31
002880,卫光生物,0.94,1.08,,15.04,,7578.2,1.06,,08-31
600787,中储股份,0.04,-76.06,4.27,1.04,,9820.04,-76.04,,08-31
600811,东方集团,0.11,-54.59,,2.06,,40378.72,-9.57,,08-31
600139,*ST西源,-0.18,4.74,,-12.71,,-12129.76,4.74,,08-31
